Link Speed,Ip Address,Longitude,Latitude,Altitude,Street,City,State And Zip,Country
130,1633427466,-118.2583211,34.0457367,44.09999847,801 S Grand Ave, Los Angeles, CA 90017, USA
130,1633427466,-118.2582825,34.0457629,44.19999695,801 S Grand Ave, Los Angeles, CA 90017, USA
130,1633427466,-118.2581771,34.045685,0,801 S Grand Ave, Los Angeles, CA 90017, USA
130,1633427466,-118.2582604,34.04579173,128.3183594,801 S Grand Ave, Los Angeles, CA 90017, USA
130,1633427466,-118.2582417,34.04578691,116.0338135,801 S Grand Ave, Los Angeles, CA 90017, USA
130,1633427466,-118.2582381,34.04580329,97.87963867,801 S Grand Ave, Los Angeles, CA 90017, USA
130,1633427466,-118.2583446,34.0457197,44.09999847,801 S Grand Ave, Los Angeles, CA 90017, USA
130,1633427466,-118.2582551,34.04580262,77.07165527,801 S Grand Ave, Los Angeles, CA 90017, USA
130,1633427466,-118.2582426,34.04579872,75.71350098,801 S Grand Ave, Los Angeles, CA 90017, USA
130,1633427466,-118.2582262,34.04580714,68.12322998,801 S Grand Ave, Los Angeles, CA 90017, USA
130,1633427466,-118.2582054,34.04580433,69.82574463,801 S Grand Ave, Los Angeles, CA 90017, USA
130,1633427466,-118.2581857,34.04580142,74.22668457,801 S Grand Ave, Los Angeles, CA 90017, USA
130,1633427466,-118.2581673,34.04579835,73.98376465,801 S Grand Ave, Los Angeles, CA 90017, USA
130,1633427466,-118.2581515,34.04579485,77.05249023,801 S Grand Ave, Los Angeles, CA 90017, USA
130,1633427466,-118.2581381,34.04579248,79.01147461,801 S Grand Ave, Los Angeles, CA 90017, USA
130,1633427466,-118.2581205,34.04578999,79.21746826,801 S Grand Ave, Los Angeles, CA 90017, USA
130,1633427466,-118.2581075,34.04578777,80.70910645,801 S Grand Ave, Los Angeles, CA 90017, USA
130,1633427466,-118.2580915,34.04578329,82.7355957,801 S Grand Ave, Los Angeles, CA 90017, USA
130,1633427466,-118.2581292,34.04577164,77.99450684,801 S Grand Ave, Los Angeles, CA 90017, USA
130,1633427466,-118.2581184,34.04576987,79.50561523,801 S Grand Ave, Los Angeles, CA 90017, USA
130,1633427466,-118.2580911,34.04579953,80.24517822,801 S Grand Ave, Los Angeles, CA 90017, USA
130,1633427466,-118.2580713,34.04580142,83.42889404,801 S Grand Ave, Los Angeles, CA 90017, USA
130,1633427466,-118.2580637,34.04579132,80.62640381,801 S Grand Ave, Los Angeles, CA 90017, USA
130,1633427466,-118.2580458,34.04579812,79.70294189,801 S Grand Ave, Los Angeles, CA 90017, USA
130,1633427466,-118.2580407,34.04581647,81.7958374,801 S Grand Ave, Los Angeles, CA 90017, USA
130,1633427466,-118.2580233,34.04582894,81.65356445,801 S Grand Ave, Los Angeles, CA 90017, USA
130,1633427466,-118.2580123,34.04584549,85.42053223,801 S Grand Ave, Los Angeles, CA 90017, USA
144,1633427466,-118.2580019,34.04586693,84.40789795,8th / Grand, Los Angeles, CA 90017, USA
144,1633427466,-118.2579887,34.04587919,87.20159912,8th / Grand, Los Angeles, CA 90017, USA
144,1633427466,-118.2579735,34.04588209,91.71728516,8th St. & Grand Ave., Los Angeles, CA 90017, USA
144,1633427466,-118.257947,34.04588528,94.03826904,NaN,,,
52,1633427466,-118.2579278,34.04588842,97.01983643,NaN,,,
52,1633427466,-118.2579154,34.04588366,98.13061523,NaN,,,
52,1633427466,-118.2579009,34.04587746,100.5302124,NaN,,,
104,1633427466,-118.2578864,34.04586953,102.0709839,NaN,,,
104,1633427466,-118.2578757,34.04586387,102.8591309,8th St. & Grand Ave., Los Angeles, CA 90017, USA
