Link Speed,Ip Address,Longitude,Latitude,Altitude,Street,City,State And Zip,Country
240,576921516,-118.2391544,34.0480179,45.5,138 S Central Ave, Los Angeles, CA 90012, USA
243,576921516,-118.2391466,34.0480063,45.5,138 S Central Ave, Los Angeles, CA 90012, USA
243,576921516,-118.23917323,34.04796296,48.32879638671875,192 S Central Ave, Los Angeles, CA 90012, USA
243,576921516,-118.23916958,34.04797145,46.42376708984375,192 S Central Ave, Los Angeles, CA 90012, USA
243,576921516,-118.2391596,34.048009,45.5,138 S Central Ave, Los Angeles, CA 90012, USA
243,576921516,-118.23915304,34.04797815,24.56097412109375,192 S Central Ave, Los Angeles, CA 90012, USA
243,576921516,-118.23913565,34.04796398,19.69110107421875,138 S Central Ave, Los Angeles, CA 90012, USA
243,576921516,-118.23914132,34.04794507,19.44989013671875,192 S Central Ave, Los Angeles, CA 90012, USA
243,576921516,-118.23913966,34.04793499,21.3585205078125,138 S Central Ave, Los Angeles, CA 90012, USA
243,576921516,-118.23914977,34.04791379,26.55596923828125,192 S Central Ave, Los Angeles, CA 90012, USA
243,576921516,-118.23915004,34.047904,25.25006103515625,144 S Central Ave, Los Angeles, CA 90012, USA
243,576921516,-118.23916616,34.04789888,28.54071044921875,144 S Central Ave, Los Angeles, CA 90012, USA
240,576921516,-118.23917483,34.04790483,27.485595703125,192 S Central Ave, Los Angeles, CA 90012, USA
240,576921516,-118.23918388,34.04789378,30.51812744140625,144 S Central Ave, Los Angeles, CA 90012, USA
240,576921516,-118.23922354,34.04788995,35.17742919921875,144 S Central Ave, Los Angeles, CA 90012, USA
240,576921516,-118.23928246,34.04790222,42.96697998046875,144 S Central Ave, Los Angeles, CA 90012, USA
240,576921516,-118.23929286,34.0479227,47.9913330078125,138 S Central Ave, Los Angeles, CA 90012, USA
240,576921516,-118.23933214,34.04795696,44.31292724609375,181 S Central Ave, Los Angeles, CA 90012, USA
240,576921516,-118.23935905,34.04796087,51.03375244140625,181 S Central Ave, Los Angeles, CA 90012, USA
240,576921516,-118.23937705,34.04796868,58.748291015625,181 S Central Ave, Los Angeles, CA 90012, USA
240,576921516,-118.23940136,34.04797842,61.0687255859375,181 S Central Ave, Los Angeles, CA 90012, USA
240,576921516,-118.2393399,34.0479523,0.0,181 S Central Ave, Los Angeles, CA 90012, USA
240,576921516,-118.23939655,34.04795932,64.7357177734375,181 S Central Ave, Los Angeles, CA 90012, USA
180,576921516,-118.23938393,34.0479461,65.8218994140625,181 S Central Ave, Los Angeles, CA 90012, USA
180,576921516,-118.23936608,34.04793113,64.925537109375,181 S Central Ave, Los Angeles, CA 90012, USA
240,576921516,-118.23934906,34.04791985,62.6641845703125,181 S Central Ave, Los Angeles, CA 90012, USA
180,576921516,-118.23933872,34.04791281,61.71929931640625,181 S Central Ave, Los Angeles, CA 90012, USA
180,576921516,-118.23932161,34.04790817,60.33428955078125,138 S Central Ave, Los Angeles, CA 90012, USA
180,576921516,-118.23930979,34.04790732,58.6871337890625,138 S Central Ave, Los Angeles, CA 90012, USA
180,576921516,-118.23929678,34.04790752,58.255859375,144 S Central Ave, Los Angeles, CA 90012, USA
180,576921516,-118.23928868,34.0479173,58.07513427734375,138 S Central Ave, Los Angeles, CA 90012, USA
180,576921516,-118.23928545,34.04793126,57.627685546875,138 S Central Ave, Los Angeles, CA 90012, USA
